,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,%K,%D,SMA 183,SMA 365,SMA 1095
2011-03-18,28.6476993560791,28.6476993560791,28.417299270629883,28.6476993560791,28.6476993560791,0.0,28.64769935607906,0.547176443418753,,,,,
2011-03-19,28.6476993560791,28.6476993560791,28.417299270629883,28.6476993560791,28.6476993560791,0.0,28.64769935607906,0.547176443418753,,,,,
2011-03-20,28.6476993560791,28.6476993560791,28.417299270629883,28.6476993560791,28.6476993560791,0.0,28.64769935607906,0.547176443418753,,,,,
2011-03-21,28.468900680541992,28.468900680541992,28.25790023803711,28.468900680541992,28.468900680541992,0.0,28.46890068054195,0.5437613551021543,,,,,
2011-03-22,28.296499252319336,28.296499252319336,28.107900619506836,28.296499252319336,28.296499252319336,0.0,28.296499252319293,0.5404684554119331,,,,,
2011-03-23,28.23419952392578,28.35700035095215,28.215200424194336,28.23419952392578,28.23419952392578,0.0,28.23419952392574,0.5392785188873755,,,,,
2011-03-24,28.33139991760254,28.43600082397461,28.21500015258789,28.33139991760254,28.33139991760254,0.0,28.331399917602496,0.5411350646801065,,,,,
2011-03-25,28.315399169921875,28.315399169921875,28.165199279785156,28.315399169921875,28.315399169921875,0.0,28.315399169921832,0.540829447391293,,,,,
2011-03-26,28.315399169921875,28.315399169921875,28.165199279785156,28.315399169921875,28.315399169921875,0.0,28.315399169921832,0.540829447391293,,,,,
2011-03-27,28.315399169921875,28.315399169921875,28.165199279785156,28.315399169921875,28.315399169921875,0.0,28.315399169921832,0.540829447391293,,,,,
2011-03-28,28.285400390625,28.43120002746582,28.285400390625,27.72100067138672,27.72100067138672,0.0,27.721000671386676,0.529476324323388,,,,,
2011-03-29,28.323299407958984,28.426000595092773,28.28730010986328,28.322500228881836,28.322500228881836,0.0,28.322500228881793,0.540965078952415,,,,,
2011-03-30,28.37649917602539,28.5935001373291,28.36199951171875,28.350000381469727,28.350000381469727,0.0,28.350000381469684,0.5414903370368247,,,,,
2011-03-31,28.496999740600586,28.562000274658203,28.315000534057617,28.517000198364258,28.517000198364258,0.0,28.517000198364215,0.5446800649351853,75.78742800607753,,,,
2011-04-01,28.399999618530273,28.437000274658203,28.31100082397461,28.409000396728516,28.409000396728516,0.0,28.409000396728473,0.5426172484201679,55.7800077735769,,,,
2011-04-02,28.399999618530273,28.437000274658203,28.31100082397461,28.409000396728516,28.409000396728516,0.0,28.409000396728473,0.5426172484201679,55.7800077735769,62.44914785107711,,,
