Open,High,Low,Close,Adj Close,Volume,Call Option Price,Put Option Price
320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,314.2489929199219,8036550,314.2489929199219,330.2822465738517
314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,315.0320129394531,7860650,315.0320129394531,331.10521694763105
314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,281.0820007324219,33054400,281.0820007324219,295.42304594444397
281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,264.19500732421875,55629100,264.19500732421875,277.67446362150736
265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,274.4739990234375,43962800,274.4739990234375,288.4778983099904
274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,286.1889953613281,23245700,286.1889953613281,300.7906038277737
286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,294.3370056152344,24866800,294.3370056152344,309.3543325664453
294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,283.3489990234375,19982500,283.3489990234375,297.8057084363061
282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,290.4079895019531,18718600,290.4079895019531,305.2248546748484
287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,274.7959899902344,15264300,274.7959899902344,288.81631753260115
274.6080017089844,279.63800048828125,265.03900146484375,265.6600036621094,265.6600036621094,18200800,265.6600036621094,279.21420533143316
266.14599609375,272.2030029296875,265.20001220703125,267.7959899902344,267.7959899902344,18880300,267.7959899902344,281.4591715174789
267.3940124511719,268.2770080566406,219.906005859375,225.86099243164062,225.86099243164062,72843904,225.86099243164062,237.38461434856944
223.8939971923828,223.8939971923828,171.50999450683594,178.10299682617188,178.10299682617188,97638704,178.10299682617188,187.1899647687127
176.89700317382812,229.06700134277344,176.89700317382812,209.843994140625,209.843994140625,81773504,209.843994140625,220.5504150412888
209.07000732421875,221.59100341796875,199.77099609375,208.0970001220703,208.0970001220703,38421000,208.0970001220703,218.71428788670997
207.83399963378906,211.7310028076172,194.875,199.25999450683594,199.25999450683594,23469700,199.25999450683594,209.42641065131943
200.0500030517578,218.69500732421875,194.50599670410156,210.33900451660156,210.33900451660156,30085100,210.33900451660156,221.07068127201168
211.4709930419922,216.72799682617188,207.3179931640625,214.86099243164062,214.86099243164062,18658300,214.86099243164062,225.8233848962346
212.90699768066406,215.24099731445312,205.1529998779297,211.31500244140625,211.31500244140625,24051100,211.31500244140625,222.096475449618
211.3780059814453,227.78799438476562,211.21200561523438,226.89700317382812,226.89700317382812,29924600,226.89700317382812,238.47348324907065
227.32200622558594,237.0189971923828,226.4340057373047,233.406005859375,233.406005859375,33544600,233.406005859375,245.31458084484078
233.51699829101562,234.84500122070312,225.1959991455078,232.87899780273438,232.87899780273438,24621700,232.87899780273438,244.76068438429067
232.6999969482422,248.2100067138672,230.02200317382812,247.8470001220703,247.8470001220703,24782500,247.8470001220703,260.4923670440109
247.3520050048828,255.07400512695312,243.88999938964844,253.71800231933594,253.71800231933594,33582700,253.71800231933594,266.66291281835186
254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,273.4729919433594,106794000,273.4729919433594,287.42581898851813
273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,263.4750061035156,44399000,263.4750061035156,276.9177273198247
263.35101318359375,266.5350036621094,227.04600524902344,233.9149932861328,233.9149932861328,44352200,233.9149932861328,245.8495372474863
233.34800720214844,238.70599365234375,220.71200561523438,233.51300048828125,233.51300048828125,32213400,233.51300048828125,245.42703443165465
232.77200317382812,242.8509979248047,225.83900451660156,226.4250030517578,226.4250030517578,26605200,226.4250030517578,237.9774012751811
226.4409942626953,233.50399780273438,216.3090057373047,217.46400451660156,217.46400451660156,23348200,217.46400451660156,228.55920489454675
216.86700439453125,231.57400512695312,212.01499938964844,226.9720001220703,226.9720001220703,29128500,226.9720001220703,238.55230660605727
226.49099731445312,242.1750030517578,222.65899658203125,238.22900390625,238.22900390625,30612100,238.22900390625,250.38365239648485
237.45399475097656,245.95700073242188,224.48300170898438,227.26800537109375,227.26800537109375,40783700,227.26800537109375,238.86341429724413
227.51100158691406,230.05799865722656,221.11300659179688,226.85299682617188,226.85299682617188,26594300,226.85299682617188,238.4272316597422
227.6649932861328,239.40499877929688,214.72500610351562,217.11099243164062,217.11099243164062,22516400,217.11099243164062,228.18818182966672
216.92300415039062,230.50999450683594,216.23199462890625,222.26600646972656,222.26600646972656,24435300,222.26600646972656,233.60620911369568
222.63299560546875,230.2989959716797,222.60699462890625,227.75399780273438,227.75399780273438,21604200,227.75399780273438,239.3742024803619
227.6929931640625,229.43800354003906,221.07699584960938,223.41200256347656,223.41200256347656,17145200,223.41200256347656,234.81067491290688
223.38900756835938,223.9770050048828,217.0189971923828,220.11000061035156,220.11000061035156,27791300,220.11000061035156,231.34020198271273
220.28199768066406,221.8070068359375,215.33200073242188,219.83900451660156,219.83900451660156,21115100,219.83900451660156,231.0553794353918
219.73199462890625,223.406005859375,218.07400512695312,219.18499755859375,219.18499755859375,17201900,219.18499755859375,230.36800448039617
219.20799255371094,222.19900512695312,217.61399841308594,221.76400756835938,221.76400756835938,15206200,221.76400756835938,233.0785977970115
221.968994140625,240.25900268554688,221.26199340820312,235.427001953125,235.427001953125,42744400,235.427001953125,247.43868989594225
235.5279998779297,259.8080139160156,235.5279998779297,257.3210144042969,257.3210144042969,49732500,257.3210144042969,270.4497536759672
257.5069885253906,265.6109924316406,227.6840057373047,234.8249969482422,234.8249969482422,56552400,234.8249969482422,246.8059700784055
