,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,SMA 126,SMA 252,SMA 756,%K,%D
2015-01-01,,,,,,,,,,,,,
2015-01-02,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,0.0,2.6700000762939453,0.04274048286877115,,,,,
2015-01-03,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,0.0,2.6700000762939453,0.04274048286877115,,,,,
2015-01-04,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,0.0,2.6700000762939453,0.04274048286877115,,,,,
2015-01-05,2.6700000762939453,2.700000047683716,2.640000104904175,2.6600000858306885,2.6600000858306885,8878200.0,2.6600000858306885,0.042580406311142,,,,,
2015-01-06,2.6500000953674316,2.6600000858306885,2.549999952316284,2.630000114440918,2.630000114440918,13912500.0,2.630000114440918,0.04210017663825455,,,,,
2015-01-07,2.630000114440918,2.6500000953674316,2.5399999618530273,2.5799999237060547,2.5799999237060547,12377600.0,2.5799999237060547,0.04129979003358262,,,,,
2015-01-08,2.5899999141693115,2.6500000953674316,2.559999942779541,2.609999895095825,2.609999895095825,11136600.0,2.609999895095825,0.04178001970647007,,,,,
2015-01-09,2.630000114440918,2.640000104904175,2.5799999237060547,2.630000114440918,2.630000114440918,8907600.0,2.630000114440918,0.04210017663825455,,,,,
2015-01-10,2.630000114440918,2.640000104904175,2.5799999237060547,2.630000114440918,2.630000114440918,8907600.0,2.630000114440918,0.04210017663825455,,,,,
2015-01-11,2.630000114440918,2.640000104904175,2.5799999237060547,2.630000114440918,2.630000114440918,8907600.0,2.630000114440918,0.04210017663825455,,,,,
2015-01-12,2.619999885559082,2.640000104904175,2.549999952316284,2.630000114440918,2.630000114440918,9979600.0,2.630000114440918,0.04210017663825455,,,,,
2015-01-13,2.640000104904175,2.680000066757202,2.5999999046325684,2.6600000858306885,2.6600000858306885,17907400.0,2.6600000858306885,0.042580406311142,,,,,
