,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,SMA 126,SMA 252,SMA 756,Trend
2015-01-01,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,314.2489929199219,8036550.0,314.2489929199219,4.913309396522053,,,,Up
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,315.0320129394531,7860650.0,315.0320129394531,4.925551980289405,,,,Up
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,281.0820007324219,33054400.0,281.0820007324219,4.394740688138816,,,,Down
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,264.19500732421875,55629100.0,264.19500732421875,4.1307111279464825,,,,Down
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,274.4739990234375,43962800.0,274.4739990234375,4.291424026445455,,,,Down
2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,286.1889953613281,23245700.0,286.1889953613281,4.47458897807299,,,,Down
2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,294.3370056152344,24866800.0,294.3370056152344,4.601983802703908,,,,Down
2015-01-08,294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,283.3489990234375,19982500.0,283.3489990234375,4.4301853968128215,,,,Down
2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,290.4079895019531,18718600.0,290.4079895019531,4.54055330579412,,,,Down
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,274.7959899902344,15264300.0,274.7959899902344,4.296458382253753,,,,Down
2015-01-11,274.6080017089844,279.63800048828125,265.03900146484375,265.6600036621094,265.6600036621094,18200800.0,265.6600036621094,4.153616468727201,,,,Down
2015-01-12,266.14599609375,272.2030029296875,265.20001220703125,267.7959899902344,267.7959899902344,18880300.0,267.7959899902344,4.187012794358366,,,,Down
2015-01-13,267.3940124511719,268.2770080566406,219.906005859375,225.86099243164062,225.86099243164062,72843904.0,225.86099243164062,3.5313555856166596,,,,Down
2015-01-14,223.8939971923828,223.8939971923828,171.50999450683594,178.10299682617188,178.10299682617188,97638704.0,178.10299682617188,2.78465531336725,,,,Down
2015-01-15,176.89700317382812,229.06700134277344,176.89700317382812,209.843994140625,209.843994140625,81773504.0,209.843994140625,3.2809284721481418,,,,Down
2015-01-16,209.07000732421875,221.59100341796875,199.77099609375,208.0970001220703,208.0970001220703,38421000.0,208.0970001220703,3.25361407394665,,,,Down
2015-01-17,207.83399963378906,211.7310028076172,194.875,199.25999450683594,199.25999450683594,23469700.0,199.25999450683594,3.1154467489760544,,,,Down
2015-01-18,200.0500030517578,218.69500732421875,194.50599670410156,210.33900451660156,210.33900451660156,30085100.0,210.33900451660156,3.2886680009500093,,,,Down
2015-01-19,211.4709930419922,216.72799682617188,207.3179931640625,214.86099243164062,214.86099243164062,18658300.0,214.86099243164062,3.3593696617810505,,,,Down
2015-01-20,212.90699768066406,215.24099731445312,205.1529998779297,211.31500244140625,211.31500244140625,24051100.0,211.31500244140625,3.3039278104735703,,,,Down
2015-01-21,211.3780059814453,227.78799438476562,211.21200561523438,226.89700317382812,226.89700317382812,29924600.0,226.89700317382812,3.5475537005801807,,,,Down
2015-01-22,227.32200622558594,237.0189971923828,226.4340057373047,233.406005859375,233.406005859375,33544600.0,233.406005859375,3.649322504227657,,,,Down
2015-01-23,233.51699829101562,234.84500122070312,225.1959991455078,232.87899780273438,232.87899780273438,24621700.0,232.87899780273438,3.6410826890012804,,,,Down
2015-01-24,232.6999969482422,248.2100067138672,230.02200317382812,247.8470001220703,247.8470001220703,24782500.0,247.8470001220703,3.875108662352601,,,,Down
2015-01-25,247.3520050048828,255.07400512695312,243.88999938964844,253.71800231933594,253.71800231933594,33582700.0,253.71800231933594,3.9669022747832945,,,,Down
2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,273.4729919433594,106794000.0,273.4729919433594,4.275773196678799,,,,Down
2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,263.4750061035156,44399000.0,263.4750061035156,4.119453848391447,,,,Down
2015-01-28,263.35101318359375,266.5350036621094,227.04600524902344,233.9149932861328,233.9149932861328,44352200.0,233.9149932861328,3.657280565392353,,,,Down
2015-01-29,233.34800720214844,238.70599365234375,220.71200561523438,233.51300048828125,233.51300048828125,32213400.0,233.51300048828125,3.6509953742365564,,,,Down
2015-01-30,232.77200317382812,242.8509979248047,225.83900451660156,226.4250030517578,226.4250030517578,26605200.0,226.4250030517578,3.540173939030655,,,,Down
2015-01-31,226.4409942626953,233.50399780273438,216.3090057373047,217.46400451660156,217.46400451660156,23348200.0,217.46400451660156,3.400067974343529,,,,Down
2015-02-01,216.86700439453125,231.57400512695312,212.01499938964844,226.9720001220703,226.9720001220703,29128500.0,226.9720001220703,3.54872628416457,,,,Down
2015-02-02,226.49099731445312,242.1750030517578,222.65899658203125,238.22900390625,238.22900390625,30612100.0,238.22900390625,3.724730483750306,,,,Down
2015-02-03,237.45399475097656,245.95700073242188,224.48300170898438,227.26800537109375,227.26800537109375,40783700.0,227.26800537109375,3.553354351093069,,,,Down
